"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACX60_RS14620",426.10809866126,-0.834658644240376,0.115034929105396,3.85901744176472e-14,2.26252763344947e-12
"ACX60_RS12315",1575.67501658377,0.826165671027057,0.114455162346191,5.1208355759665e-14,2.94773916972908e-12
"ACX60_RS17815",5215.26163431115,0.623064723661641,0.0860921377329885,6.91466654904921e-14,3.90925612398032e-12
"ACX60_RS04575",1594.39676215242,0.629976671383193,0.0872588447473552,7.50591212760686e-14,4.16907329754444e-12
"ACX60_RS07850",929.645159345693,0.966083632262887,0.137162710735734,1.54163522625181e-13,8.41520194191934e-12
"ACX60_RS16100",1328.24231904222,0.627140019563454,0.0883808164426347,1.85269847955799e-13,9.94176845132306e-12
"ACX60_RS14325",583.279778162773,-0.927732972024298,0.133063171746249,2.4975734664178e-13,1.31788626577979e-11
"ACX60_RS17875",287.52177051846,-0.952745627339154,0.137484304193661,3.60297059619231e-13,1.87000080451555e-11
"ACX60_RS14515",1323.46565984214,0.900186297287718,0.130077840300823,3.95418498722014e-13,2.0191854305708e-11
"ACX60_RS10230",2933.52339525164,0.55687606710033,0.0790790199560824,4.09773865147504e-13,2.05927628104285e-11
"ACX60_RS15325",1928.18756705228,0.911427550325072,0.132216255096588,4.87101431945749e-13,2.40962989615663e-11
"ACX60_RS01020",152.019585089052,-1.14710183738077,0.168261005990479,6.60322720261893e-13,3.21627958822946e-11
"ACX60_RS16600",914.675926204692,0.720062012390934,0.105480882506543,1.00901425826719e-12,4.84021082071805e-11
"ACX60_RS17805",1328.63596971224,0.689335270072144,0.101784859895675,1.59314808851427e-12,7.5282191764719e-11
"ACX60_RS12250",354.0277249333,0.841119763708699,0.125793828660798,2.20967745356246e-12,1.02879982617334e-10
"ACX60_RS04880",1053.50881734106,0.671090247966193,0.0998019226919297,2.28963243250263e-12,1.05057627265266e-10
"ACX60_RS18035",48.1530292512013,2.00752754850033,0.304503010712264,2.84283503859455e-12,1.28577367602719e-10
"ACX60_RS09660",601.582025515611,0.705360851589691,0.106650957932559,4.51898476938693e-12,2.01508532110972e-10
"ACX60_RS01855",266.022487828738,1.00151608457778,0.154670095101456,8.00278916895814e-12,3.5190042373502e-10
"ACX60_RS17800",5215.30635631094,0.501675118195146,0.075967373930352,8.50263902536370e-12,3.68758289784952e-10
"ACX60_RS13975",2970.88296221521,0.593772035430218,0.090947262142308,1.02785713649921e-11,4.39756174886015e-10
"ACX60_RS11205",91.7063180975559,1.34941515044602,0.213102637071293,1.61358351240072e-11,6.81147386701425e-10
"ACX60_RS13980",7400.25007359356,0.548569194042754,0.0848200275925623,1.75816690401748e-11,7.32415318173599e-10
"ACX60_RS05415",1699.93960573302,0.690334991236515,0.107927450952673,1.83862562249431e-11,7.5598554815805e-10
"ACX60_RS15795",1846.12761421883,0.714510460506142,0.112124113214275,2.17531311285749e-11,8.82954014782926e-10
"ACX60_RS05280",8461.76699199847,-0.525886897135921,0.082158253847391,2.87296904896183e-11,1.15136962139407e-09
"ACX60_RS05710",271.253542121088,0.8556191032075,0.136893251467744,3.87804068019596e-11,1.53473459918755e-09
"ACX60_RS17745",4874.43232112761,0.464505280572504,0.0730135388255932,4.83446506683973e-11,1.88762170698533e-09
"ACX60_RS09785",2624.2203216469,-0.548808966839167,0.0871375492581329,4.88897599408709e-11,1.88762170698533e-09
"ACX60_RS05305",11425.5616310644,0.473858027301382,0.0731575463530649,5.21435746260648e-11,1.98899466585688e-09
"ACX60_RS05310",8455.70453328183,0.489457362511689,0.0773966766709876,5.69862102073482e-11,2.14783739900553e-09
"ACX60_RS04855",2226.33842277972,0.563274057711257,0.0901677051410972,7.05501888608407e-11,2.62778703451084e-09
"ACX60_RS17895",2784.96738604069,0.857994833147668,0.140967948762264,1.09392758031958e-10,4.02717990615324e-09
"ACX60_RS13340",1466.71122801047,-0.736956888372593,0.120702785931234,1.12319755630884e-10,4.08740627962503e-09
"ACX60_RS05285",9057.42674417113,-0.466748524984668,0.0754854090359336,1.58882609191387e-10,5.71616296249922e-09
"ACX60_RS08050",449.402593959904,0.713941511246796,0.118009635325544,1.67622641675418e-10,5.96284588252106e-09
"ACX60_RS14060",10509.5671442324,-0.441355908887157,0.0716042173347474,1.74876549097336e-10,6.15176838269074e-09
"ACX60_RS01525",272.519078624952,-0.871478648563636,0.145370752955676,1.8283588848108e-10,6.36108157067143e-09
"ACX60_RS07265",911.259231803679,0.603498692069856,0.0993824704807744,1.89632364863321e-10,6.52582681692689e-09
"ACX60_RS05420",2405.27110657766,-0.520469379786795,0.0861360955508514,2.33098923790108e-10,7.93538916902668e-09
"ACX60_RS03190",1624.12210136672,0.581325106683699,0.0957029702499995,2.39760678308665e-10,8.07534369707694e-09
"ACX60_RS05685",3796.82655841067,0.458911909894307,0.0755007282759247,3.10248902041783e-10,1.03394528827819e-08
"ACX60_RS11360",117.739992259585,1.56849577701495,0.268606154871383,3.47088632688202e-10,1.14466938655297e-08
"ACX60_RS01300",424.019660342017,-0.810424813467881,0.137549236662191,3.77133442975759e-10,1.23093245408377e-08
"ACX60_RS00345",256.976585722033,-0.760992193174698,0.129470803587016,4.42324597888703e-10,1.41323627220389e-08
